UID,mean.annual.flow,basin.area,max.basin.elevation,mean.basin.elevation,min.basin.elevation,range.basin.elevation,pct.ISC,tmax.annual,tmin.annual,pct.ag,pct.urb,pct.for
11323,4.47634,3.74,27.902,26.108,20.726,7.176,0.352,26.54,12.46,10.13,3.056,55.053
11324,52.0203,140.006,30.652,26.956,15.055,15.597,0.221,27.27,13.31,0.047,3.797,34.495
11325,6618.36895,10010.925,210.989,87.558,5.374,205.615,0.906,26.43,12.17,20.885,6.109,46.13
11326,27.42642,34.485,699.007,392.871,278.998,420.009,0.091,21.6,9.19,0.624,1.253,89.21
11327,7.73795,10.679,580.963,489.41,422.201,158.762,0.26,20.61,7.59,0.877,3.894,81.399
11328,63.41976,89.623,542.282,312.997,224.525,317.757,24.142,21.89,9.19,1.425,73.187,21.264
11329,4408.76973,11513.882,508.101,173.456,53.615,454.485,4.539,25.39,11.84,16.918,18.313,47.012
11330,1.5908,0.698,403.052,394.991,382.148,20.904,0.308,21.85,9.05,34.021,4.124,61.856
11335,0.00306,35807.975,582.194,401.372,259.801,322.393,0.761,12.65,1.08,25.429,4.185,35.747
11342,38.55786,242.966,390.499,361.986,341.286,49.213,0.648,13.84,2.22,92.305,6.246,0.204
11455,675614.729,2899112.61,4411,702.606,15,4396,1.112,24.07,11.82,36.888,5.424,20.424
11457,700447.7194,2947593.442,4411,692.182,5,4406,1.105,24.72,12.69,36.951,5.425,20.573
11458,700402.421,2947505.37,4411,692.202,5,4406,1.105,24.65,12.67,36.953,5.425,20.573
11459,703072.7399,2952412.371,4411,691.167,2,4409,1.104,25.08,13.23,36.903,5.423,20.632
11460,3.66097,2952284.693,4411,691.198,2,4409,1.104,25.05,13.14,36.904,5.423,20.632
11461,700581.5171,2947852.176,4411,692.126,4,4407,1.105,24.76,12.82,36.949,5.426,20.574
11462,700636.4888,2947958.47,4411,692.101,4,4407,1.105,24.93,12.99,36.948,5.426,20.574
11463,702438.318,2951903.8,4411,691.284,4,4407,1.104,25,13.04,36.907,5.424,20.631
11464,698392.0493,2943459.985,4411,693.058,5,4406,1.106,24.39,12.17,36.988,5.427,20.518
11465,693654.2962,2934120.022,4411,695.003,13,4398,1.107,24.37,11.85,37.032,5.427,20.443
